Log - Nov-15-2020 | 0:37:30:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:37:31:BCCRP Bot is ready to serve 2370 users in 3 guilds!
Log - Nov-15-2020 | 0:37:32:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:37:32:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:37:32:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:37:32:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:37:32:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:37:32:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:37:32:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:39:26:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:41:6:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:41:8:BCCRP Bot is ready to serve 2370 users in 3 guilds!
Log - Nov-15-2020 | 0:41:8:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:41:8:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:41:8:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:41:8:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:41:8:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:41:8:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:41:8:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:41:29:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:41:30:BCCRP Bot is ready to serve 2370 users in 3 guilds!
Log - Nov-15-2020 | 0:41:31:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:41:31:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:41:31:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:41:31:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:41:31:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:41:31:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:41:31:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:42:23:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:42:25:BCCRP Bot is ready to serve 2369 users in 3 guilds!
Log - Nov-15-2020 | 0:42:25:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:42:25:BCCRP Bot just loaded test.ts
