Log - Oct-29-2020 | 18:24:33:BCCRP Bot is ready to serve 2145 users in 3 guilds!
Log - Oct-29-2020 | 18:24:33:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:24:34:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:24:34:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:24:34:BCCRP Bot just loaded messageDelete.ts
Log - Oct-29-2020 | 18:24:34:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:25:1:Express server started on 5000
Log - Oct-29-2020 | 18:25:1:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:25:3:BCCRP Bot is ready to serve 2146 users in 3 guilds!
Log - Oct-29-2020 | 18:25:3:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:25:3:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:25:3:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:25:3:BCCRP Bot just loaded messageDelete.ts
Log - Oct-29-2020 | 18:25:3:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:25:29:Express server started on 5000
Log - Oct-29-2020 | 18:25:29:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:25:30:BCCRP Bot is ready to serve 2145 users in 3 guilds!
Log - Oct-29-2020 | 18:25:30:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:25:30:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:25:30:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:25:30:BCCRP Bot just loaded messageDelete.ts
Log - Oct-29-2020 | 18:25:30:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:26:4:Express server started on 5000
Log - Oct-29-2020 | 18:26:4:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:26:6:BCCRP Bot is ready to serve 2145 users in 3 guilds!
Log - Oct-29-2020 | 18:26:6:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:26:6:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:26:6:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:26:6:BCCRP Bot just loaded messageDelete.ts
Log - Oct-29-2020 | 18:26:50:Express server started on 5000
Log - Oct-29-2020 | 18:26:50:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:26:52:BCCRP Bot is ready to serve 2145 users in 3 guilds!
Log - Oct-29-2020 | 18:26:52:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:26:52:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:26:52:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:26:52:BCCRP Bot just loaded messageDelete.ts
Log - Oct-29-2020 | 18:26:52:BCCRP Bot just loaded messageUpdate.ts
Log - Oct-29-2020 | 18:26:52:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:27:45:Express server started on 5000
Log - Oct-29-2020 | 18:27:45:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:27:46:BCCRP Bot is ready to serve 2145 users in 3 guilds!
Log - Oct-29-2020 | 18:27:46:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:27:47:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:27:47:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:27:47:BCCRP Bot just loaded messageDelete.ts
Log - Oct-29-2020 | 18:27:47:BCCRP Bot just loaded messageUpdate.ts
Log - Oct-29-2020 | 18:27:47:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:28:30:Express server started on 5000
Log - Oct-29-2020 | 18:28:30:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:28:31:BCCRP Bot is ready to serve 2145 users in 3 guilds!
Log - Oct-29-2020 | 18:28:31:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:28:32:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:28:32:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:28:32:BCCRP Bot just loaded messageDelete.ts
Log - Oct-29-2020 | 18:28:45:Express server started on 5000
Log - Oct-29-2020 | 18:28:45:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:28:46:BCCRP Bot is ready to serve 2145 users in 3 guilds!
Log - Oct-29-2020 | 18:28:46:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:28:46:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:28:46:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:28:46:BCCRP Bot just loaded messageDelete.ts
Log - Oct-29-2020 | 18:28:46:BCCRP Bot just loaded messageUpdate.ts
Log - Oct-29-2020 | 18:28:47:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:29:3:Express server started on 5000
Log - Oct-29-2020 | 18:29:3:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:29:4:BCCRP Bot is ready to serve 2145 users in 3 guilds!
Log - Oct-29-2020 | 18:29:4:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:29:5:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:29:5:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:29:5:BCCRP Bot just loaded messageDelete.ts
Log - Oct-29-2020 | 18:29:5:BCCRP Bot just loaded messageUpdate.ts
Log - Oct-29-2020 | 18:29:5:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:29:19:Express server started on 5000
Log - Oct-29-2020 | 18:29:19:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:29:21:BCCRP Bot is ready to serve 2144 users in 3 guilds!
Log - Oct-29-2020 | 18:29:21:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:29:21:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:29:21:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:29:21:BCCRP Bot just loaded messageDelete.ts
Log - Oct-29-2020 | 18:29:21:BCCRP Bot just loaded messageUpdate.ts
Log - Oct-29-2020 | 18:29:21:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:29:47:Express server started on 5000
Log - Oct-29-2020 | 18:29:47:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:29:48:BCCRP Bot is ready to serve 2146 users in 3 guilds!
Log - Oct-29-2020 | 18:29:48:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:29:48:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:29:49:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:29:49:BCCRP Bot just loaded messageDelete.ts
Log - Oct-29-2020 | 18:29:49:BCCRP Bot just loaded messageUpdate.ts
Log - Oct-29-2020 | 18:29:49:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:30:46:Express server started on 5000
Log - Oct-29-2020 | 18:30:46:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:30:47:BCCRP Bot is ready to serve 2147 users in 3 guilds!
Log - Oct-29-2020 | 18:30:47:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:30:48:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:30:48:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:30:48:BCCRP Bot just loaded messageDelete.ts
