Log - Oct-28-2020 | 20:35:22:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:35:24:Ali A#0001 (384187414584754176) attempted to run ping.js in Blaine County Country RP (702556315699904604) but didn't have the specified permissions.
Log - Oct-28-2020 | 20:35:36:BCCRP Bot is ready to serve 2129 users in 3 guilds!
Log - Oct-28-2020 | 20:35:36:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:35:36:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:35:37:ked#0001 (756958129983324322) attempted to run ping.js in Blaine County Country RP (702556315699904604) but didn't have the specified permissions.
Log - Oct-28-2020 | 20:36:2:BCCRP Bot is ready to serve 2128 users in 3 guilds!
Log - Oct-28-2020 | 20:36:2:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:36:2:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:36:3:ked#0001 (756958129983324322) attempted to run ping.js in Blaine County Country RP (702556315699904604) but didn't have the specified permissions.
Log - Oct-28-2020 | 20:36:16:BCCRP Bot is ready to serve 2129 users in 3 guilds!
Log - Oct-28-2020 | 20:36:16:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:36:16:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:36:17:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:37:1:ked#0001 (756958129983324322) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:37:9:BCCRP Bot is ready to serve 2129 users in 3 guilds!
Log - Oct-28-2020 | 20:37:9:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:37:19:BCCRP Bot is ready to serve 2128 users in 3 guilds!
Log - Oct-28-2020 | 20:37:20:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:37:20:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:37:21:ked#0001 (756958129983324322) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:37:26:BCCRP Bot is ready to serve 2128 users in 3 guilds!
Log - Oct-28-2020 | 20:37:26:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:37:26:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:37:27:ked#0001 (756958129983324322) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:38:25:BCCRP Bot is ready to serve 2125 users in 3 guilds!
Log - Oct-28-2020 | 20:38:25:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:38:25:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:38:27:ked#0001 (756958129983324322) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:38:54:ked#0001 (756958129983324322) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:39:3:BCCRP Bot is ready to serve 2125 users in 3 guilds!
Log - Oct-28-2020 | 20:39:3:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:39:3:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:39:7:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:39:13:ked#0001 (756958129983324322) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:39:23:BCCRP Bot is ready to serve 2125 users in 3 guilds!
Log - Oct-28-2020 | 20:39:23:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:39:23:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:39:24:ked#0001 (756958129983324322) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:39:24:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:39:47:BCCRP Bot is ready to serve 2124 users in 3 guilds!
Log - Oct-28-2020 | 20:39:47:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:39:47:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:39:52:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:40:29:BCCRP Bot is ready to serve 2125 users in 3 guilds!
Log - Oct-28-2020 | 20:40:29:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:40:29:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:40:36:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:40:43:BCCRP Bot is ready to serve 2125 users in 3 guilds!
Log - Oct-28-2020 | 20:40:43:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:40:43:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:40:44:ked#0001 (756958129983324322) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:42:49:BCCRP Bot is ready to serve 2128 users in 3 guilds!
Log - Oct-28-2020 | 20:42:49:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:42:49:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:42:49:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:43:32:BCCRP Bot is ready to serve 2126 users in 3 guilds!
Log - Oct-28-2020 | 20:43:32:BCCRP Bot just loaded help.ts
